Age,Gender,Menstrual,Sleep_Hours,Water_Intake,Steps,Exercise_Hrs,Behaviour,Character,Mood,Favourite_Food
52,Male,N/A,5.9,1.4,5783,1.1,Rude,Calm,Smile,Pasta
43,Transgender,N/A,5.2,1.5,5028,0.0,Harsh,Calm,Sad,Biryani
44,Male,N/A,5.1,3.8,8705,1.2,Rude,Good,Sad,Smoothie
51,Transgender,N/A,4.4,1.8,4114,2.4,Harsh,Friendly,Smile,Dosa
22,Transgender,N/A,9.0,2.0,2335,0.8,Harsh,Calm,Joy,Smoothie
30,Male,N/A,8.2,1.8,13904,1.5,Harsh,Friendly,Joy,Salad
17,Transgender,N/A,7.1,3.3,10437,1.1,Polite,Good,Happy,Pasta
18,Female,Yes,4.6,1.7,6040,1.3,Rude,Friendly,Happy,Burger
33,Male,N/A,7.3,0.7,6648,2.1,Calm,Friendly,Joy,Salad
15,Transgender,N/A,5.6,1.8,5379,2.3,Polite,Good,Joy,Smoothie
56,Transgender,N/A,5.1,3.0,5427,1.3,Harsh,Friendly,Smile,Fried Rice
39,Transgender,N/A,5.0,2.9,7415,1.1,Harsh,Friendly,Happy,Burger
56,Transgender,N/A,5.2,2.3,10480,1.1,Rude,Calm,Joy,Pizza
58,Female,NA,5.8,1.6,1273,2.0,Harsh,Friendly,Happy,Smoothie
57,Male,N/A,6.5,1.4,10475,1.4,Calm,Friendly,Sad,Ice Cream
45,Female,NA,4.0,2.5,4314,1.9,Polite,Friendly,Joy,Fried Rice
47,Transgender,N/A,6.5,3.3,8123,0.1,Harsh,Good,Joy,Salad
47,Transgender,N/A,7.7,2.5,3119,2.2,Harsh,Calm,Joy,Biryani
31,Transgender,N/A,7.1,1.3,5838,2.6,Calm,Good,Sad,Biryani
14,Female,Yes,4.7,1.4,14335,0.2,Calm,Good,Sad,Burger
49,Male,N/A,5.0,2.7,12351,0.4,Rude,Friendly,Sad,Salad
36,Male,N/A,7.0,2.5,9838,2.4,Rude,Friendly,Sad,Ice Cream
17,Female,NA,6.0,3.9,3317,1.7,Rude,Friendly,Joy,Burger
29,Male,N/A,4.9,4.0,2675,2.8,Rude,Friendly,Sad,Pasta
22,Male,N/A,5.7,2.3,13222,1.3,Rude,Friendly,Happy,Smoothie
23,Transgender,N/A,5.5,3.4,9341,1.8,Polite,Good,Joy,Smoothie
49,Transgender,N/A,7.4,1.3,14372,2.1,Rude,Good,Happy,Pizza
45,Female,Yes,5.8,1.3,11935,0.8,Rude,Friendly,Sad,Pizza
25,Female,Yes,5.5,0.6,11428,1.1,Polite,Friendly,Joy,Burger
51,Male,N/A,5.9,3.8,12432,1.4,Polite,Friendly,Happy,Biryani
49,Female,Yes,4.9,3.3,9078,2.8,Harsh,Calm,Smile,Biryani
